ref_date,geo,labour_force_characteristics,uom,value
1984-07,Saskatchewan,Population,Persons in thousands,740.8
1984-07,Saskatchewan,Unemployment rate,Percent,7.5
1984-07,Alberta,Population,Persons in thousands,1776.8
1984-07,Alberta,Unemployment rate,Percent,10.9
1984-07,British Columbia,Population,Persons in thousands,2279.1
1984-07,British Columbia,Unemployment rate,Percent,14.3
1984-08,Newfoundland and Labrador,Population,Persons in thousands,418.9
1984-08,Newfoundland and Labrador,Unemployment rate,Percent,17.9
1984-08,Prince Edward Island,Population,Persons in thousands,94.1
1984-08,Prince Edward Island,Unemployment rate,Percent,8.7
1984-08,Nova Scotia,Population,Persons in thousands,660.6
1984-08,Nova Scotia,Unemployment rate,Percent,11.8
1984-08,New Brunswick,Population,Persons in thousands,538.5
1984-08,New Brunswick,Unemployment rate,Percent,12.8
1984-08,Ontario,Population,Persons in thousands,7161.1
1984-08,Ontario,Unemployment rate,Percent,8.5
1984-08,Manitoba,Population,Persons in thousands,796.2
1984-08,Manitoba,Unemployment rate,Percent,8.4
1984-08,Saskatchewan,Population,Persons in thousands,741.6
1984-08,Saskatchewan,Unemployment rate,Percent,7.1
1984-08,Alberta,Population,Persons in thousands,1776
1984-08,Alberta,Unemployment rate,Percent,10.9
1984-08,British Columbia,Population,Persons in thousands,2281.7
1984-08,British Columbia,Unemployment rate,Percent,14.4
1984-09,Newfoundland and Labrador,Population,Persons in thousands,419.1
1984-09,Newfoundland and Labrador,Unemployment rate,Percent,20.8
1984-09,Prince Edward Island,Population,Persons in thousands,94.3
1984-09,Prince Edward Island,Unemployment rate,Percent,11.2
1984-09,Nova Scotia,Population,Persons in thousands,661.7
1984-09,Nova Scotia,Unemployment rate,Percent,12.5
1984-09,New Brunswick,Population,Persons in thousands,538.9
1984-09,New Brunswick,Unemployment rate,Percent,14
1984-09,Ontario,Population,Persons in thousands,7171.1
1984-09,Ontario,Unemployment rate,Percent,8.5
1984-09,Manitoba,Population,Persons in thousands,797.2
1984-09,Manitoba,Unemployment rate,Percent,8.3
1984-09,Saskatchewan,Population,Persons in thousands,742.3
1984-09,Saskatchewan,Unemployment rate,Percent,7.6
1984-09,Alberta,Population,Persons in thousands,1776.8
1984-09,Alberta,Unemployment rate,Percent,11.2
1984-09,British Columbia,Population,Persons in thousands,2283.9
1984-09,British Columbia,Unemployment rate,Percent,14.4
1984-10,Newfoundland and Labrador,Population,Persons in thousands,419.4
1984-10,Newfoundland and Labrador,Unemployment rate,Percent,19.8
1984-10,Prince Edward Island,Population,Persons in thousands,94.6
1984-10,Prince Edward Island,Unemployment rate,Percent,11.6
1984-10,Nova Scotia,Population,Persons in thousands,662.9
1984-10,Nova Scotia,Unemployment rate,Percent,13.2
1984-10,New Brunswick,Population,Persons in thousands,539.4
1984-10,New Brunswick,Unemployment rate,Percent,13.5
1984-10,Ontario,Population,Persons in thousands,7182.7
1984-10,Ontario,Unemployment rate,Percent,8.1
1984-10,Manitoba,Population,Persons in thousands,798.8
1984-10,Manitoba,Unemployment rate,Percent,8.2
1984-10,Saskatchewan,Population,Persons in thousands,742.9
1984-10,Saskatchewan,Unemployment rate,Percent,7.1
1984-10,Alberta,Population,Persons in thousands,1778.4
1984-10,Alberta,Unemployment rate,Percent,10.7
1984-10,British Columbia,Population,Persons in thousands,2286.8
1984-10,British Columbia,Unemployment rate,Percent,14.6
1984-11,Newfoundland and Labrador,Population,Persons in thousands,419.7
1984-11,Newfoundland and Labrador,Unemployment rate,Percent,21.1
1984-11,Prince Edward Island,Population,Persons in thousands,94.7
1984-11,Prince Edward Island,Unemployment rate,Percent,13.1
1984-11,Nova Scotia,Population,Persons in thousands,663.7
1984-11,Nova Scotia,Unemployment rate,Percent,13.4
1984-11,New Brunswick,Population,Persons in thousands,539.9
1984-11,New Brunswick,Unemployment rate,Percent,14.7
1984-11,Ontario,Population,Persons in thousands,7191.8
1984-11,Ontario,Unemployment rate,Percent,8.5
1984-11,Manitoba,Population,Persons in thousands,799.8
1984-11,Manitoba,Unemployment rate,Percent,8.2
1984-11,Saskatchewan,Population,Persons in thousands,743.5
1984-11,Saskatchewan,Unemployment rate,Percent,8.4
1984-11,Alberta,Population,Persons in thousands,1780.1
1984-11,Alberta,Unemployment rate,Percent,10.7
1984-11,British Columbia,Population,Persons in thousands,2288.9
1984-11,British Columbia,Unemployment rate,Percent,15
1984-12,Newfoundland and Labrador,Population,Persons in thousands,420
1984-12,Newfoundland and Labrador,Unemployment rate,Percent,21.6
1984-12,Prince Edward Island,Population,Persons in thousands,94.8
1984-12,Prince Edward Island,Unemployment rate,Percent,13.9
1984-12,Nova Scotia,Population,Persons in thousands,664.4
1984-12,Nova Scotia,Unemployment rate,Percent,13.3
1984-12,New Brunswick,Population,Persons in thousands,540.1
1984-12,New Brunswick,Unemployment rate,Percent,14.6
1984-12,Ontario,Population,Persons in thousands,7200
1984-12,Ontario,Unemployment rate,Percent,8.2
1984-12,Manitoba,Population,Persons in thousands,800.7
1984-12,Manitoba,Unemployment rate,Percent,8.9
1984-12,Saskatchewan,Population,Persons in thousands,744
1984-12,Saskatchewan,Unemployment rate,Percent,8.6
1984-12,Alberta,Population,Persons in thousands,1781.6
1984-12,Alberta,Unemployment rate,Percent,10.5
1984-12,British Columbia,Population,Persons in thousands,2291.3
1984-12,British Columbia,Unemployment rate,Percent,14.9
1985-01,Newfoundland and Labrador,Population,Persons in thousands,420.6
1985-01,Newfoundland and Labrador,Unemployment rate,Percent,22.3
1985-01,Prince Edward Island,Population,Persons in thousands,94.9
1985-01,Prince Edward Island,Unemployment rate,Percent,16.7
1985-01,Nova Scotia,Population,Persons in thousands,665.2
1985-01,Nova Scotia,Unemployment rate,Percent,15
1985-01,New Brunswick,Population,Persons in thousands,540.6
1985-01,New Brunswick,Unemployment rate,Percent,16.8
1985-01,Ontario,Population,Persons in thousands,7210.1
1985-01,Ontario,Unemployment rate,Percent,9.4
1985-01,Manitoba,Population,Persons in thousands,801.5
1985-01,Manitoba,Unemployment rate,Percent,9.4
1985-01,Saskatchewan,Population,Persons in thousands,744.4
1985-01,Saskatchewan,Unemployment rate,Percent,9.3
1985-01,Alberta,Population,Persons in thousands,1783.6
1985-01,Alberta,Unemployment rate,Percent,11
1985-01,British Columbia,Population,Persons in thousands,2293.6
1985-01,British Columbia,Unemployment rate,Percent,15.6
1985-02,Newfoundland and Labrador,Population,Persons in thousands,421.1
1985-02,Newfoundland and Labrador,Unemployment rate,Percent,21.2
1985-02,Prince Edward Island,Population,Persons in thousands,95
1985-02,Prince Edward Island,Unemployment rate,Percent,16.5
1985-02,Nova Scotia,Population,Persons in thousands,665.8
1985-02,Nova Scotia,Unemployment rate,Percent,15
1985-02,New Brunswick,Population,Persons in thousands,541
1985-02,New Brunswick,Unemployment rate,Percent,17.1
1985-02,Ontario,Population,Persons in thousands,7218.3
1985-02,Ontario,Unemployment rate,Percent,9.1
1985-02,Manitoba,Population,Persons in thousands,802.4
1985-02,Manitoba,Unemployment rate,Percent,9.7
1985-02,Saskatchewan,Population,Persons in thousands,745
1985-02,Saskatchewan,Unemployment rate,Percent,9.1
1985-02,Alberta,Population,Persons in thousands,1785.1
1985-02,Alberta,Unemployment rate,Percent,11.5
1985-02,British Columbia,Population,Persons in thousands,2295.4
1985-02,British Columbia,Unemployment rate,Percent,15.8
1985-03,Newfoundland and Labrador,Population,Persons in thousands,421.5
1985-03,Newfoundland and Labrador,Unemployment rate,Percent,22.7
1985-03,Prince Edward Island,Population,Persons in thousands,95
1985-03,Prince Edward Island,Unemployment rate,Percent,18.3
1985-03,Nova Scotia,Population,Persons in thousands,666.5
1985-03,Nova Scotia,Unemployment rate,Percent,16.5
1985-03,New Brunswick,Population,Persons in thousands,541.5
1985-03,New Brunswick,Unemployment rate,Percent,20
1985-03,Ontario,Population,Persons in thousands,7226.6
1985-03,Ontario,Unemployment rate,Percent,9.7
1985-03,Manitoba,Population,Persons in thousands,803.2
1985-03,Manitoba,Unemployment rate,Percent,10.3
1985-03,Saskatchewan,Population,Persons in thousands,745.4
1985-03,Saskatchewan,Unemployment rate,Percent,9.7
1985-03,Alberta,Population,Persons in thousands,1786.6
1985-03,Alberta,Unemployment rate,Percent,11.3
1985-03,British Columbia,Population,Persons in thousands,2297.4
1985-03,British Columbia,Unemployment rate,Percent,15.1
1985-04,Newfoundland and Labrador,Population,Persons in thousands,422
1985-04,Newfoundland and Labrador,Unemployment rate,Percent,24.2
1985-04,Prince Edward Island,Population,Persons in thousands,95.1
1985-04,Prince Edward Island,Unemployment rate,Percent,16.3
1985-04,Nova Scotia,Population,Persons in thousands,667.2
1985-04,Nova Scotia,Unemployment rate,Percent,15.4
1985-04,New Brunswick,Population,Persons in thousands,541.8
1985-04,New Brunswick,Unemployment rate,Percent,17.5
1985-04,Ontario,Population,Persons in thousands,7238.2
1985-04,Ontario,Unemployment rate,Percent,8.8
1985-04,Manitoba,Population,Persons in thousands,803.8
1985-04,Manitoba,Unemployment rate,Percent,9.2
1985-04,Saskatchewan,Population,Persons in thousands,746.2
1985-04,Saskatchewan,Unemployment rate,Percent,9
1985-04,Alberta,Population,Persons in thousands,1788.1
1985-04,Alberta,Unemployment rate,Percent,11.1
1985-04,British Columbia,Population,Persons in thousands,2299.8
1985-04,British Columbia,Unemployment rate,Percent,15.4
1985-05,Newfoundland and Labrador,Population,Persons in thousands,422.2
1985-05,Newfoundland and Labrador,Unemployment rate,Percent,22.6
1985-05,Prince Edward Island,Population,Persons in thousands,95.2
1985-05,Prince Edward Island,Unemployment rate,Percent,13.2
1985-05,Nova Scotia,Population,Persons in thousands,667.7
1985-05,Nova Scotia,Unemployment rate,Percent,13.3
1985-05,New Brunswick,Population,Persons in thousands,542.4
1985-05,New Brunswick,Unemployment rate,Percent,15.3
1985-05,Ontario,Population,Persons in thousands,7248.9
1985-05,Ontario,Unemployment rate,Percent,7.7
1985-05,Manitoba,Population,Persons in thousands,804.2
1985-05,Manitoba,Unemployment rate,Percent,7.9
1985-05,Saskatchewan,Population,Persons in thousands,746.6
1985-05,Saskatchewan,Unemployment rate,Percent,7.9
1985-05,Alberta,Population,Persons in thousands,1789.1
1985-05,Alberta,Unemployment rate,Percent,10.3
1985-05,British Columbia,Population,Persons in thousands,2302.2
1985-05,British Columbia,Unemployment rate,Percent,14.1
1985-06,Newfoundland and Labrador,Population,Persons in thousands,422.2
1985-06,Newfoundland and Labrador,Unemployment rate,Percent,20.7
1985-06,Prince Edward Island,Population,Persons in thousands,95.2
1985-06,Prince Edward Island,Unemployment rate,Percent,9.9
1985-06,Nova Scotia,Population,Persons in thousands,667.8
1985-06,Nova Scotia,Unemployment rate,Percent,11.7
1985-06,New Brunswick,Population,Persons in thousands,542.9
1985-06,New Brunswick,Unemployment rate,Percent,14.2
1985-06,Ontario,Population,Persons in thousands,7260.7
1985-06,Ontario,Unemployment rate,Percent,7.5
1985-06,Manitoba,Population,Persons in thousands,804.2
1985-06,Manitoba,Unemployment rate,Percent,7.7
1985-06,Saskatchewan,Population,Persons in thousands,747.3
1985-06,Saskatchewan,Unemployment rate,Percent,7.3
1985-06,Alberta,Population,Persons in thousands,1789.5
1985-06,Alberta,Unemployment rate,Percent,9.3
1985-06,British Columbia,Population,Persons in thousands,2305
1985-06,British Columbia,Unemployment rate,Percent,14.4
1985-07,Newfoundland and Labrador,Population,Persons in thousands,422.3
1985-07,Newfoundland and Labrador,Unemployment rate,Percent,18.1
1985-07,Prince Edward Island,Population,Persons in thousands,95.1
1985-07,Prince Edward Island,Unemployment rate,Percent,10.4
1985-07,Nova Scotia,Population,Persons in thousands,668
1985-07,Nova Scotia,Unemployment rate,Percent,12.8
1985-07,New Brunswick,Population,Persons in thousands,543.4
1985-07,New Brunswick,Unemployment rate,Percent,14
1985-07,Ontario,Population,Persons in thousands,7275.2
1985-07,Ontario,Unemployment rate,Percent,7.7
1985-07,Manitoba,Population,Persons in thousands,804.4
1985-07,Manitoba,Unemployment rate,Percent,7.7
1985-07,Saskatchewan,Population,Persons in thousands,747.9
1985-07,Saskatchewan,Unemployment rate,Percent,7.6
1985-07,Alberta,Population,Persons in thousands,1789.9
1985-07,Alberta,Unemployment rate,Percent,9.2
1985-07,British Columbia,Population,Persons in thousands,2308.2
1985-07,British Columbia,Unemployment rate,Percent,13.7
1985-08,Newfoundland and Labrador,Population,Persons in thousands,422.1
1985-08,Newfoundland and Labrador,Unemployment rate,Percent,17.6
1985-08,Prince Edward Island,Population,Persons in thousands,95.2
1985-08,Prince Edward Island,Unemployment rate,Percent,10.2
1985-08,Nova Scotia,Population,Persons in thousands,668.6
1985-08,Nova Scotia,Unemployment rate,Percent,12.3
1985-08,New Brunswick,Population,Persons in thousands,543.6
1985-08,New Brunswick,Unemployment rate,Percent,13.4
1985-08,Ontario,Population,Persons in thousands,7286.6
1985-08,Ontario,Unemployment rate,Percent,7.5
1985-08,Manitoba,Population,Persons in thousands,805.2
1985-08,Manitoba,Unemployment rate,Percent,8.6
1985-08,Saskatchewan,Population,Persons in thousands,748.4
1985-08,Saskatchewan,Unemployment rate,Percent,7.7
1985-08,Alberta,Population,Persons in thousands,1790.6
1985-08,Alberta,Unemployment rate,Percent,9.1
1985-08,British Columbia,Population,Persons in thousands,2310.8
1985-08,British Columbia,Unemployment rate,Percent,13.3
1985-09,Newfoundland and Labrador,Population,Persons in thousands,422.1
1985-09,Newfoundland and Labrador,Unemployment rate,Percent,17
1985-09,Prince Edward Island,Population,Persons in thousands,95.4
1985-09,Prince Edward Island,Unemployment rate,Percent,9.5
1985-09,Nova Scotia,Population,Persons in thousands,669.6
1985-09,Nova Scotia,Unemployment rate,Percent,11.8
1985-09,New Brunswick,Population,Persons in thousands,544.2
1985-09,New Brunswick,Unemployment rate,Percent,12.1
1985-09,Ontario,Population,Persons in thousands,7299.6
1985-09,Ontario,Unemployment rate,Percent,7.3
1985-09,Manitoba,Population,Persons in thousands,806.6
1985-09,Manitoba,Unemployment rate,Percent,7.1
1985-09,Saskatchewan,Population,Persons in thousands,748.8
1985-09,Saskatchewan,Unemployment rate,Percent,6.9
1985-09,Alberta,Population,Persons in thousands,1793.5
1985-09,Alberta,Unemployment rate,Percent,8.6
1985-09,British Columbia,Population,Persons in thousands,2313.6
1985-09,British Columbia,Unemployment rate,Percent,12.4
1985-10,Newfoundland and Labrador,Population,Persons in thousands,422.1
1985-10,Newfoundland and Labrador,Unemployment rate,Percent,17.8
1985-10,Prince Edward Island,Population,Persons in thousands,95.5
1985-10,Prince Edward Island,Unemployment rate,Percent,11.8
1985-10,Nova Scotia,Population,Persons in thousands,670.4
1985-10,Nova Scotia,Unemployment rate,Percent,12.2
1985-10,New Brunswick,Population,Persons in thousands,544.5
1985-10,New Brunswick,Unemployment rate,Percent,13.1
1985-10,Ontario,Population,Persons in thousands,7309.6
1985-10,Ontario,Unemployment rate,Percent,7.1
1985-10,Manitoba,Population,Persons in thousands,807.7
1985-10,Manitoba,Unemployment rate,Percent,6.9
1985-10,Saskatchewan,Population,Persons in thousands,748.7
1985-10,Saskatchewan,Unemployment rate,Percent,7
1985-10,Alberta,Population,Persons in thousands,1796.2
1985-10,Alberta,Unemployment rate,Percent,8.6
1985-10,British Columbia,Population,Persons in thousands,2315.7
1985-10,British Columbia,Unemployment rate,Percent,13.5
1985-11,Newfoundland and Labrador,Population,Persons in thousands,422.4
1985-11,Newfoundland and Labrador,Unemployment rate,Percent,18.8
1985-11,Prince Edward Island,Population,Persons in thousands,95.7
1985-11,Prince Edward Island,Unemployment rate,Percent,15.9
1985-11,Nova Scotia,Population,Persons in thousands,671.1
1985-11,Nova Scotia,Unemployment rate,Percent,13.3
1985-11,New Brunswick,Population,Persons in thousands,544.7
1985-11,New Brunswick,Unemployment rate,Percent,14.8
1985-11,Ontario,Population,Persons in thousands,7319.1
1985-11,Ontario,Unemployment rate,Percent,6.8
1985-11,Manitoba,Population,Persons in thousands,808.6
1985-11,Manitoba,Unemployment rate,Percent,7.4
1985-11,Saskatchewan,Population,Persons in thousands,748.9
1985-11,Saskatchewan,Unemployment rate,Percent,7.8
1985-11,Alberta,Population,Persons in thousands,1799.4
1985-11,Alberta,Unemployment rate,Percent,9
1985-11,British Columbia,Population,Persons in thousands,2317.6
1985-11,British Columbia,Unemployment rate,Percent,14.6
1985-12,Newfoundland and Labrador,Population,Persons in thousands,422.5
1985-12,Newfoundland and Labrador,Unemployment rate,Percent,19.7
1985-12,Prince Edward Island,Population,Persons in thousands,95.6
1985-12,Prince Edward Island,Unemployment rate,Percent,15.2
1985-12,Nova Scotia,Population,Persons in thousands,671.6
1985-12,Nova Scotia,Unemployment rate,Percent,12
1985-12,New Brunswick,Population,Persons in thousands,545
1985-12,New Brunswick,Unemployment rate,Percent,14.5
1985-12,Ontario,Population,Persons in thousands,7328
1985-12,Ontario,Unemployment rate,Percent,6.9
1985-12,Manitoba,Population,Persons in thousands,809.3
1985-12,Manitoba,Unemployment rate,Percent,7.6
1985-12,Saskatchewan,Population,Persons in thousands,749
1985-12,Saskatchewan,Unemployment rate,Percent,8.4
1985-12,Alberta,Population,Persons in thousands,1801.9
1985-12,Alberta,Unemployment rate,Percent,8.4
1985-12,British Columbia,Population,Persons in thousands,2319.6
1985-12,British Columbia,Unemployment rate,Percent,13.8
1986-01,Newfoundland and Labrador,Population,Persons in thousands,423.1
1986-01,Newfoundland and Labrador,Unemployment rate,Percent,20.2
1986-01,Prince Edward Island,Population,Persons in thousands,95.8
1986-01,Prince Edward Island,Unemployment rate,Percent,15.7
1986-01,Nova Scotia,Population,Persons in thousands,672.3
1986-01,Nova Scotia,Unemployment rate,Percent,14.4
1986-01,New Brunswick,Population,Persons in thousands,545.5
1986-01,New Brunswick,Unemployment rate,Percent,16.5
1986-01,Ontario,Population,Persons in thousands,7338.6
1986-01,Ontario,Unemployment rate,Percent,8.2
1986-01,Manitoba,Population,Persons in thousands,810.2
1986-01,Manitoba,Unemployment rate,Percent,8.7
1986-01,Saskatchewan,Population,Persons in thousands,749.1
1986-01,Saskatchewan,Unemployment rate,Percent,8.8
1986-01,Alberta,Population,Persons in thousands,1805.1
1986-01,Alberta,Unemployment rate,Percent,9.2
1986-01,British Columbia,Population,Persons in thousands,2321.7
1986-01,British Columbia,Unemployment rate,Percent,14.3
1986-02,Newfoundland and Labrador,Population,Persons in thousands,423.4
1986-02,Newfoundland and Labrador,Unemployment rate,Percent,19.5
1986-02,Prince Edward Island,Population,Persons in thousands,95.9
1986-02,Prince Edward Island,Unemployment rate,Percent,15.9
1986-02,Nova Scotia,Population,Persons in thousands,672.7
1986-02,Nova Scotia,Unemployment rate,Percent,14.7
1986-02,New Brunswick,Population,Persons in thousands,545.8
1986-02,New Brunswick,Unemployment rate,Percent,16.1
1986-02,Ontario,Population,Persons in thousands,7347.5
1986-02,Ontario,Unemployment rate,Percent,8
1986-02,Manitoba,Population,Persons in thousands,810.9
1986-02,Manitoba,Unemployment rate,Percent,8.9
1986-02,Saskatchewan,Population,Persons in thousands,749.3
1986-02,Saskatchewan,Unemployment rate,Percent,8.6
1986-02,Alberta,Population,Persons in thousands,1807.6
1986-02,Alberta,Unemployment rate,Percent,9.2
1986-02,British Columbia,Population,Persons in thousands,2323.3
1986-02,British Columbia,Unemployment rate,Percent,14
1986-03,Newfoundland and Labrador,Population,Persons in thousands,423.7
1986-03,Newfoundland and Labrador,Unemployment rate,Percent,22.3
1986-03,Prince Edward Island,Population,Persons in thousands,96
1986-03,Prince Edward Island,Unemployment rate,Percent,16.8
1986-03,Nova Scotia,Population,Persons in thousands,672.9
1986-03,Nova Scotia,Unemployment rate,Percent,14.8
1986-03,New Brunswick,Population,Persons in thousands,546
1986-03,New Brunswick,Unemployment rate,Percent,17.8
1986-03,Ontario,Population,Persons in thousands,7356.2
1986-03,Ontario,Unemployment rate,Percent,7.9
1986-03,Manitoba,Population,Persons in thousands,811.6
1986-03,Manitoba,Unemployment rate,Percent,9.6
1986-03,Saskatchewan,Population,Persons in thousands,749.7
1986-03,Saskatchewan,Unemployment rate,Percent,9.6
1986-03,Alberta,Population,Persons in thousands,1810.4
1986-03,Alberta,Unemployment rate,Percent,10
1986-03,British Columbia,Population,Persons in thousands,2325.1
1986-03,British Columbia,Unemployment rate,Percent,14
1986-04,Newfoundland and Labrador,Population,Persons in thousands,424.1
1986-04,Newfoundland and Labrador,Unemployment rate,Percent,20.7
1986-04,Prince Edward Island,Population,Persons in thousands,96
1986-04,Prince Edward Island,Unemployment rate,Percent,15.7
1986-04,Nova Scotia,Population,Persons in thousands,673.5
1986-04,Nova Scotia,Unemployment rate,Percent,14.5
1986-04,New Brunswick,Population,Persons in thousands,546.5
1986-04,New Brunswick,Unemployment rate,Percent,17.4
1986-04,Ontario,Population,Persons in thousands,7368.2
1986-04,Ontario,Unemployment rate,Percent,7.2
1986-04,Manitoba,Population,Persons in thousands,812.4
1986-04,Manitoba,Unemployment rate,Percent,8.7
1986-04,Saskatchewan,Population,Persons in thousands,750
1986-04,Saskatchewan,Unemployment rate,Percent,8.4
1986-04,Alberta,Population,Persons in thousands,1813.4
1986-04,Alberta,Unemployment rate,Percent,10.7
1986-04,British Columbia,Population,Persons in thousands,2327.3
1986-04,British Columbia,Unemployment rate,Percent,13.3
1986-05,Newfoundland and Labrador,Population,Persons in thousands,424.3
1986-05,Newfoundland and Labrador,Unemployment rate,Percent,18.4
1986-05,Prince Edward Island,Population,Persons in thousands,96.1
1986-05,Prince Edward Island,Unemployment rate,Percent,11.8
1986-05,Nova Scotia,Population,Persons in thousands,674.2
1986-05,Nova Scotia,Unemployment rate,Percent,13.5
1986-05,New Brunswick,Population,Persons in thousands,546.8
1986-05,New Brunswick,Unemployment rate,Percent,15.2
1986-05,Ontario,Population,Persons in thousands,7379.1
1986-05,Ontario,Unemployment rate,Percent,6.8
1986-05,Manitoba,Population,Persons in thousands,812.9
1986-05,Manitoba,Unemployment rate,Percent,7.6
1986-05,Saskatchewan,Population,Persons in thousands,750.3
1986-05,Saskatchewan,Unemployment rate,Percent,7.7
1986-05,Alberta,Population,Persons in thousands,1815
1986-05,Alberta,Unemployment rate,Percent,10.7
1986-05,British Columbia,Population,Persons in thousands,2329.7
1986-05,British Columbia,Unemployment rate,Percent,12.5
1986-06,Newfoundland and Labrador,Population,Persons in thousands,424.2
1986-06,Newfoundland and Labrador,Unemployment rate,Percent,17.4
1986-06,Prince Edward Island,Population,Persons in thousands,96
1986-06,Prince Edward Island,Unemployment rate,Percent,10.4
1986-06,Nova Scotia,Population,Persons in thousands,674.9
1986-06,Nova Scotia,Unemployment rate,Percent,12.2
1986-06,New Brunswick,Population,Persons in thousands,547.2
1986-06,New Brunswick,Unemployment rate,Percent,14.6
1986-06,Ontario,Population,Persons in thousands,7394.4
1986-06,Ontario,Unemployment rate,Percent,6.8
1986-06,Manitoba,Population,Persons in thousands,813.2
1986-06,Manitoba,Unemployment rate,Percent,6.4
1986-06,Saskatchewan,Population,Persons in thousands,750.7
1986-06,Saskatchewan,Unemployment rate,Percent,6.9
1986-06,Alberta,Population,Persons in thousands,1814.9
1986-06,Alberta,Unemployment rate,Percent,10.5
1986-06,British Columbia,Population,Persons in thousands,2333.5
1986-06,British Columbia,Unemployment rate,Percent,11.7
1986-07,Newfoundland and Labrador,Population,Persons in thousands,424.2
1986-07,Newfoundland and Labrador,Unemployment rate,Percent,19
1986-07,Prince Edward Island,Population,Persons in thousands,96
1986-07,Prince Edward Island,Unemployment rate,Percent,11.2
1986-07,Nova Scotia,Population,Persons in thousands,675.5
1986-07,Nova Scotia,Unemployment rate,Percent,12.8
1986-07,New Brunswick,Population,Persons in thousands,547.4
1986-07,New Brunswick,Unemployment rate,Percent,14
1986-07,Ontario,Population,Persons in thousands,7405.8
1986-07,Ontario,Unemployment rate,Percent,6.7
1986-07,Manitoba,Population,Persons in thousands,813.2
1986-07,Manitoba,Unemployment rate,Percent,7.1
1986-07,Saskatchewan,Population,Persons in thousands,750.8
1986-07,Saskatchewan,Unemployment rate,Percent,7.5
1986-07,Alberta,Population,Persons in thousands,1813.8
1986-07,Alberta,Unemployment rate,Percent,10.1
1986-07,British Columbia,Population,Persons in thousands,2337
1986-07,British Columbia,Unemployment rate,Percent,11.8
1986-08,Newfoundland and Labrador,Population,Persons in thousands,424.2
1986-08,Newfoundland and Labrador,Unemployment rate,Percent,17.6
1986-08,Prince Edward Island,Population,Persons in thousands,95.9
1986-08,Prince Edward Island,Unemployment rate,Percent,10.2
1986-08,Nova Scotia,Population,Persons in thousands,676.1
1986-08,Nova Scotia,Unemployment rate,Percent,12.5
1986-08,New Brunswick,Population,Persons in thousands,547.8
1986-08,New Brunswick,Unemployment rate,Percent,12.6
1986-08,Ontario,Population,Persons in thousands,7417.6
1986-08,Ontario,Unemployment rate,Percent,6.6
1986-08,Manitoba,Population,Persons in thousands,813.5
1986-08,Manitoba,Unemployment rate,Percent,7.1
1986-08,Saskatchewan,Population,Persons in thousands,751
1986-08,Saskatchewan,Unemployment rate,Percent,6.9
1986-08,Alberta,Population,Persons in thousands,1812.5
1986-08,Alberta,Unemployment rate,Percent,10.1
1986-08,British Columbia,Population,Persons in thousands,2339.7
1986-08,British Columbia,Unemployment rate,Percent,11.8
1986-09,Newfoundland and Labrador,Population,Persons in thousands,424.4
1986-09,Newfoundland and Labrador,Unemployment rate,Percent,17
1986-09,Prince Edward Island,Population,Persons in thousands,95.9
1986-09,Prince Edward Island,Unemployment rate,Percent,10.1
1986-09,Nova Scotia,Population,Persons in thousands,676.8
1986-09,Nova Scotia,Unemployment rate,Percent,11.3
1986-09,New Brunswick,Population,Persons in thousands,548
1986-09,New Brunswick,Unemployment rate,Percent,11.3
1986-09,Ontario,Population,Persons in thousands,7431.5
1986-09,Ontario,Unemployment rate,Percent,6.8
1986-09,Manitoba,Population,Persons in thousands,813.9
1986-09,Manitoba,Unemployment rate,Percent,5.9
1986-09,Saskatchewan,Population,Persons in thousands,751.1
1986-09,Saskatchewan,Unemployment rate,Percent,6.5
1986-09,Alberta,Population,Persons in thousands,1811.8
1986-09,Alberta,Unemployment rate,Percent,9.3
1986-09,British Columbia,Population,Persons in thousands,2342.9
1986-09,British Columbia,Unemployment rate,Percent,11.6
1986-10,Newfoundland and Labrador,Population,Persons in thousands,424.7
1986-10,Newfoundland and Labrador,Unemployment rate,Percent,17.6
1986-10,Prince Edward Island,Population,Persons in thousands,96
1986-10,Prince Edward Island,Unemployment rate,Percent,10.6
1986-10,Nova Scotia,Population,Persons in thousands,676.9
1986-10,Nova Scotia,Unemployment rate,Percent,12.2
1986-10,New Brunswick,Population,Persons in thousands,548.3
1986-10,New Brunswick,Unemployment rate,Percent,11.9
1986-10,Ontario,Population,Persons in thousands,7442.1
1986-10,Ontario,Unemployment rate,Percent,6.6
1986-10,Manitoba,Population,Persons in thousands,814.7
1986-10,Manitoba,Unemployment rate,Percent,5.9
1986-10,Saskatchewan,Population,Persons in thousands,751.2
1986-10,Saskatchewan,Unemployment rate,Percent,6.4
1986-10,Alberta,Population,Persons in thousands,1812.2
1986-10,Alberta,Unemployment rate,Percent,9.6
1986-10,British Columbia,Population,Persons in thousands,2345
1986-10,British Columbia,Unemployment rate,Percent,11.5
1986-11,Newfoundland and Labrador,Population,Persons in thousands,425
1986-11,Newfoundland and Labrador,Unemployment rate,Percent,18.1
1986-11,Prince Edward Island,Population,Persons in thousands,96
1986-11,Prince Edward Island,Unemployment rate,Percent,13.6
1986-11,Nova Scotia,Population,Persons in thousands,677.3
1986-11,Nova Scotia,Unemployment rate,Percent,13.1
1986-11,New Brunswick,Population,Persons in thousands,548.5
1986-11,New Brunswick,Unemployment rate,Percent,12.7
1986-11,Ontario,Population,Persons in thousands,7452.5
1986-11,Ontario,Unemployment rate,Percent,6.1
